47°48′14″N,47.80379345,29°28′20″E,29.4720939,99.4125,27.202°
48°29′27″N,48.49081774,29°18′58″E,29.31611241,168.093,11.442°
47°12′15″N,47.20424256,27°00′53″E,27.0147199,141.629,279.43°
46°25′44″N,46.42884924,27°38′16″E,27.63786625,113.6801,235.764°
45°59′22″N,45.98935306,28°43′52″E,28.73110785,114.0266,185.16°
47°34′04″N,47.56791218,30°56′05″E,30.93465698,168.0814,67.595°
48°29′38″N,48.49390884,28°06′23″E,28.10644239,174.4468,341.334°
48°11′21″N,48.18922173,28°13′57″E,28.23251126,139.3961,340.376°
47°26′16″N,47.43772668,26°34′16″E,26.57112647,179.578,286.185°
46°57′36″N,46.95988271,29°22′05″E,29.36797472,38.6658,98.18°
45°25′23″N,45.42317177,29°27′12″E,29.45329961,182.2817,165.375°
46°27′29″N,46.45809803,26°35′56″E,26.59888124,183.2575,251.241°
46°03′05″N,46.0512642,29°47′34″E,29.79288794,128.2019,145.984°
47°26′39″N,47.4441673,29°24′17″E,29.40467942,63.2147,40.062°
46°42′33″N,46.70930498,29°49′40″E,29.82791312,80.6123,114.199°
48°10′26″N,48.17376627,27°45′28″E,27.75772777,153.7032,327.738°
46°42′34″N,46.70936671,28°02′30″E,28.04160141,70.9351,242.13°
48°30′53″N,48.51460485,27°54′23″E,27.90644604,181.9666,337.19°
47°54′14″N,47.90397976,30°05′57″E,30.09917874,136.0424,42.617°
47°19′52″N,47.33120804,31°00′25″E,31.00689123,165.9203,76.799°
47°03′16″N,47.0545573,31°28′46″E,31.47949498,198.3464,87.626°
46°59′49″N,46.9969689,29°20′08″E,29.33549488,35.8091,92.228°
48°01′04″N,48.01776495,27°49′44″E,27.82885979,136.3706,325.622°
46°34′57″N,46.58260186,30°46′57″E,30.78256093,153.6524,107.34°
48°36′25″N,48.6068345,29°02′02″E,29.03400934,178.0141,4.033°
47°30′43″N,47.5118827,30°02′02″E,30.03398828,104.4625,57.303°
47°24′05″N,47.40143721,27°58′07″E,27.96848876,80.4241,303.061°
47°53′01″N,47.8835317,27°05′54″E,27.09840726,164.5044,306.825°
48°30′25″N,48.50695551,30°16′44″E,30.27889776,197.2261,31.922°
48°37′39″N,48.62758561,29°55′04″E,29.91769584,196.3305,23.245°
48°27′08″N,48.45214854,28°11′08″E,28.18550539,168.1903,342.69°
